filename,width,height,class,xmin,ymin,xmax,ymax
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,nodules - cysts,341,220,364,243
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,268,209,283,223
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,292,246,303,257
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,288,229,299,242
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,178,112,189,122
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,162,141,173,151
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,315,145,328,158
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,252,195,262,205
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,253,180,264,190
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,294,176,305,185
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,hyperpigmentation - scars,110,129,126,140
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,hyperpigmentation - scars,136,115,161,130
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,hyperpigmentation - scars,135,153,154,167
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,hyperpigmentation - scars,128,169,140,178
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,172,153,178,159
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,179,187,184,192
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,214,190,220,195
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,230,190,236,195
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,227,160,237,169
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,285,168,291,174
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,269,176,274,180
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,261,173,266,177
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,190,99,198,106
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,369,112,375,118
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,364,126,370,131
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,327,122,337,129
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,294,86,305,94
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,356,159,361,163
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,368,158,374,164
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,364,105,373,112
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,375,95,383,103
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,360,119,365,123
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,338,107,344,112
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,336,99,347,107
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,238,393,245,399
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,231,360,240,367
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,278,360,283,364
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,281,366,287,372
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,258,354,264,359
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,259,397,265,403
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,255,400,260,405
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,hyperpigmentation - scars,226,464,238,475
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,hyperpigmentation - scars,231,430,242,440
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,hyperpigmentation - scars,181,384,187,389
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,hyperpigmentation - scars,221,377,228,382
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,371,382,376,387
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,332,256,339,262
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,295,263,301,269
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,335,248,341,253
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,465,347,470,351
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,430,290,436,295
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,comedones,462,287,467,291
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,papules,393,307,401,315
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,hyperpigmentation - scars,459,333,472,342
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,hyperpigmentation - scars,466,311,473,316
FE52830C-66BC-4072-801A-85B4F4BA917B_jpeg_jpg.rf.b1c6f5b8ae6361d45afaf7a897e5223d.jpg,640,640,hyperpigmentation - scars,470,319,481,326
