Skin_type,Sensitivity,Blood_group,Hyperpigmentation_type,Remedy,Remedy_ID
Oily,Yes,A+,Sun_induced,"Apple cider vinegar and water toner: Mix 1 part apple cider vinegar with 3 parts water. Apply after cleansing. 
Routine: Cleanse, tone, exfoliate 1-2x/week, apply the toner daily, moisturize.",1
Oily,Yes,A-,Sun_induced,"Strawberry and yogurt mask: Blend strawberries with yogurt. Apply for 15 mins, then rinse. 
Routine: Cleanse, tone, mask 1-2x/week, moisturize.",2
Oily,Yes,B+,Sun_induced,"Avocado and honey mask: Mash avocado and mix with honey. Apply for 20 mins, then rinse. 
Routine: Cleanse, tone, mask 1-2x/week, moisturize.",3
Oily,Yes,B-,Sun_induced,"Aloe vera and chamomile gel: Mix aloe vera gel with brewed chamomile. Apply after cleansing. 
Routine: Cleanse, tone, apply gel, moisturize.",4
Oily,Yes,O+,Sun_induced,"Banana and yogurt face pack: Blend banana and yogurt. Apply for 15 mins, then rinse. 
Routine: Cleanse, tone, mask 1-2x/week, moisturize.",5
Oily,Yes,O-,Sun_induced,"Green tea and honey mask: Mix brewed green tea with honey. Apply for 20 mins, then rinse. 
Routine: Cleanse, tone, mask 1-2x/week, moisturize.",6
Oily,Yes,AB+,Sun_induced,"Papaya and honey mask: Blend ripe papaya with honey. Apply for 15 mins, then rinse. 
Routine: Cleanse, tone, mask 1-2x/week, moisturize.",7
Oily,Yes,AB-,Sun_induced,"Rice flour and rosewater paste: Mix rice flour with rosewater. Apply for 15 mins, then rinse. 
Routine: Cleanse, tone, mask 1-2x/week, moisturize.",8
Dry,Yes,A+,Sun_induced,"Coconut oil and sugar scrub: Mix coconut oil with sugar. Gently scrub, then rinse. 
Routine: Cleanse, exfoliate 1-2x/week, apply scrub, moisturize.",9
Dry,Yes,A-,Sun_induced,"Avocado and almond milk mask: Mash avocado and mix with almond milk. Apply for 20 mins, then rinse. 
Routine: Cleanse, tone, mask 1-2x/week, moisturize.",10
Dry,Yes,B+,Sun_induced,"Honey and oats mask: Mix honey with ground oats. Apply for 15 mins, then rinse. 
Routine: Cleanse, tone, mask 1-2x/week, moisturize.",11
Dry,Yes,B-,Sun_induced,"Olive oil and coffee grounds scrub: Mix olive oil with coffee grounds. Scrub gently, then rinse. 
Routine: Cleanse, exfoliate 1-2x/week, apply scrub, moisturize.",12
Dry,Yes,O+,Sun_induced,"Yogurt and oatmeal soothing mask: Mix yogurt with oatmeal. Apply for 20 mins, then rinse. 
Routine: Cleanse, tone, mask 1-2x/week, moisturize.",13
Dry,Yes,O-,Sun_induced,"Mango pulp and honey treatment: Blend mango pulp with honey. Apply for 15 mins, then rinse. 
Routine: Cleanse, tone, mask 1-2x/week, moisturize.",14
Dry,Yes,AB+,Sun_induced,"Shea butter and chamomile blend: Mix shea butter with chamomile oil. Apply after cleansing. 
Routine: Cleanse, tone, apply blend, moisturize.",15
